Time(sec)     	Capacitor Charge(C)   	Capacitor Voltage(V)   	Current(A)     	Capacitor Energy(J)       	Inductor Energy(J)
0.0000   	    0.010000   	          200.000000   	           -0.000000   	             1.000000   	          0.000000
0.0001   	    0.009990   	          199.800033   	           -0.199933   	             0.998001   	          0.001999
0.0002   	    0.009960   	          199.200533   	           -0.399467   	             0.992021   	          0.007979
0.0003   	    0.009910   	          198.202698   	           -0.598202   	             0.982108   	          0.017892
0.0004   	    0.009840   	          196.808524   	           -0.795740   	             0.968340   	          0.031660
0.0005   	    0.009751   	          195.020799   	           -0.991687   	             0.950828   	          0.049172
0.0006   	    0.009642   	          192.843096   	           -1.185652   	             0.929711   	          0.070289
0.0007   	    0.009514   	          190.279772   	           -1.377245   	             0.905160   	          0.094840
0.0008   	    0.009367   	          187.335952   	           -1.566084   	             0.877369   	          0.122631
0.0009   	    0.009201   	          184.017522   	           -1.751792   	             0.846561   	          0.153439
0.0010   	    0.009017   	          180.331119   	           -1.933997   	             0.812983   	          0.187017
0.0011   	    0.008814   	          176.284113   	           -2.112334   	             0.776902   	          0.223098
0.0012   	    0.008594   	          171.884598   	           -2.286448   	             0.738608   	          0.261392
0.0013   	    0.008357   	          167.141372   	           -2.455989   	             0.698406   	          0.301594
0.0014   	    0.008103   	          162.063918   	           -2.620619   	             0.656618   	          0.343382
0.0015   	    0.007833   	          156.662390   	           -2.780009   	             0.613578   	          0.386422
0.0016   	    0.007547   	          150.947590   	           -2.933839   	             0.569629   	          0.430371
0.0017   	    0.007247   	          144.930944   	           -3.081803   	             0.525124   	          0.474876
0.0018   	    0.006931   	          138.624486   	           -3.223605   	             0.480419   	          0.519581
0.0019   	    0.006602   	          132.040824   	           -3.358960   	             0.435869   	          0.564131
0.0020   	    0.006260   	          125.193125   	           -3.487598   	             0.391833   	          0.608167
0.0021   	    0.005905   	          118.095081   	           -3.609263   	             0.348661   	          0.651339
0.0022   	    0.005538   	          110.760887   	           -3.723710   	             0.306699   	          0.693301
0.0023   	    0.005160   	          103.205207   	           -3.830710   	             0.266283   	          0.733717
0.0024   	    0.004772   	           95.443152   	           -3.930051   	             0.227735   	          0.772265
0.0025   	    0.004375   	           87.490242   	           -4.021533   	             0.191364   	          0.808636
0.0026   	    0.003968   	           79.362381   	           -4.104973   	             0.157460   	          0.842540
0.0027   	    0.003554   	           71.075821   	           -4.180205   	             0.126294   	          0.873706
0.0028   	    0.003132   	           62.647134   	           -4.247078   	             0.098117   	          0.901883
0.0029   	    0.002705   	           54.093173   	           -4.305458   	             0.073152   	          0.926848
0.0030   	    0.002272   	           45.431044   	           -4.355228   	             0.051599   	          0.948401
0.0031   	    0.001834   	           36.678068   	           -4.396289   	             0.033632   	          0.966368
0.0032   	    0.001393   	           27.851748   	           -4.428560   	             0.019393   	          0.980607
0.0033   	    0.000948   	           18.969734   	           -4.451974   	             0.008996   	          0.991004
0.0034   	    0.000502   	           10.049786   	           -4.466486   	             0.002525   	          0.997475
0.0035   	    0.000055   	            1.109743   	           -4.472067   	             0.000031   	          0.999969
0.0036   	   -0.000392   	           -7.832520   	           -4.468705   	             0.001534   	          0.998466
0.0037   	   -0.000838   	          -16.759120   	           -4.456407   	             0.007022   	          0.992978
0.0038   	   -0.001283   	          -25.652208   	           -4.435198   	             0.016451   	          0.983549
0.0039   	   -0.001725   	          -34.494000   	           -4.405120   	             0.029746   	          0.970254
0.0040   	   -0.002163   	          -43.266815   	           -4.366233   	             0.046800   	          0.953200
0.0041   	   -0.002598   	          -51.953111   	           -4.318615   	             0.067478   	          0.932522
0.0042   	   -0.003027   	          -60.535518   	           -4.262361   	             0.091614   	          0.908386
0.0043   	   -0.003450   	          -68.996874   	           -4.197585   	             0.119014   	          0.880986
0.0044   	   -0.003866   	          -77.320260   	           -4.124414   	             0.149461   	          0.850539
0.0045   	   -0.004274   	          -85.489031   	           -4.042996   	             0.182709   	          0.817291
0.0046   	   -0.004674   	          -93.486852   	           -3.953493   	             0.218495   	          0.781505
0.0047   	   -0.005065   	         -101.297730   	           -3.856084   	             0.256531   	          0.743469
0.0048   	   -0.005445   	         -108.906047   	           -3.750965   	             0.296513   	          0.703487
0.0049   	   -0.005815   	         -116.296589   	           -3.638345   	             0.338122   	          0.661878
0.0050   	   -0.006173   	         -123.454575   	           -3.518449   	             0.381026   	          0.618974
0.0051   	   -0.006518   	         -130.365694   	           -3.391518   	             0.424880   	          0.575120
0.0052   	   -0.006851   	         -137.016125   	           -3.257805   	             0.469335   	          0.530665
0.0053   	   -0.007170   	         -143.392569   	           -3.117577   	             0.514036   	          0.485964
0.0054   	   -0.007474   	         -149.482276   	           -2.971115   	             0.558624   	          0.441376
0.0055   	   -0.007764   	         -155.273068   	           -2.818712   	             0.602743   	          0.397257
0.0056   	   -0.008038   	         -160.753366   	           -2.660672   	             0.646041   	          0.353959
0.0057   	   -0.008296   	         -165.912211   	           -2.497312   	             0.688172   	          0.311828
0.0058   	   -0.008537   	         -170.739286   	           -2.328959   	             0.728798   	          0.271202
0.0059   	   -0.008761   	         -175.224940   	           -2.155948   	             0.767594   	          0.232406
0.0060   	   -0.008968   	         -179.360202   	           -1.978626   	             0.804252   	          0.195748
0.0061   	   -0.009157   	         -183.136804   	           -1.797347   	             0.838477   	          0.161523
0.0062   	   -0.009327   	         -186.547193   	           -1.612474   	             0.869996   	          0.130004
0.0063   	   -0.009479   	         -189.584550   	           -1.424377   	             0.898558   	          0.101442
0.0064   	   -0.009612   	         -192.242801   	           -1.233431   	             0.923932   	          0.076068
0.0065   	   -0.009726   	         -194.516631   	           -1.040019   	             0.945918   	          0.054082
0.0066   	   -0.009820   	         -196.401492   	           -0.844528   	             0.964339   	          0.035661
0.0067   	   -0.009895   	         -197.893616   	           -0.647347   	             0.979047   	          0.020953
0.0068   	   -0.009950   	         -198.990018   	           -0.448872   	             0.989926   	          0.010074
0.0069   	   -0.009984   	         -199.688507   	           -0.249500   	             0.996887   	          0.003113
0.0070   	   -0.009999   	         -199.987685   	           -0.049628   	             0.999877   	          0.000123
0.0071   	   -0.009994   	         -199.886954   	            0.150342   	             0.998870   	          0.001130
0.0072   	   -0.009969   	         -199.386516   	            0.350012   	             0.993875   	          0.006125
0.0073   	   -0.009924   	         -198.487372   	            0.548982   	             0.984931   	          0.015069
0.0074   	   -0.009860   	         -197.191319   	            0.746855   	             0.972110   	          0.027890
0.0075   	   -0.009775   	         -195.500949   	            0.943234   	             0.955516   	          0.044484
0.0076   	   -0.009671   	         -193.419642   	            1.137726   	             0.935279   	          0.064721
0.0077   	   -0.009548   	         -190.951561   	            1.329944   	             0.911562   	          0.088438
0.0078   	   -0.009405   	         -188.101640   	            1.519502   	             0.884556   	          0.115444
0.0079   	   -0.009244   	         -184.875578   	            1.706022   	             0.854474   	          0.145526
0.0080   	   -0.009064   	         -181.279827   	            1.889130   	             0.821559   	          0.178441
0.0081   	   -0.008866   	         -177.321577   	            2.068461   	             0.786074   	          0.213926
0.0082   	   -0.008650   	         -173.008743   	            2.243655   	             0.748301   	          0.251699
0.0083   	   -0.008417   	         -168.349949   	            2.414363   	             0.708543   	          0.291457
0.0084   	   -0.008168   	         -163.354511   	            2.580243   	             0.667117   	          0.332883
0.0085   	   -0.007902   	         -158.032418   	            2.740963   	             0.624356   	          0.375644
0.0086   	   -0.007620   	         -152.394313   	            2.896202   	             0.580601   	          0.419399
0.0087   	   -0.007323   	         -146.451471   	            3.045650   	             0.536201   	          0.463799
0.0088   	   -0.007011   	         -140.215774   	            3.189007   	             0.491512   	          0.508488
0.0089   	   -0.006685   	         -133.699693   	            3.325988   	             0.446890   	          0.553110
0.0090   	   -0.006346   	         -126.916257   	            3.456318   	             0.402693   	          0.597307
0.0091   	   -0.005994   	         -119.879030   	            3.579736   	             0.359275   	          0.640725
0.0092   	   -0.005630   	         -112.602086   	            3.695996   	             0.316981   	          0.683019
0.0093   	   -0.005255   	         -105.099974   	            3.804865   	             0.276150   	          0.723850
0.0094   	   -0.004869   	          -97.387698   	            3.906126   	             0.237109   	          0.762891
0.0095   	   -0.004474   	          -89.480679   	            3.999575   	             0.200170   	          0.799830
0.0096   	   -0.004070   	          -81.394728   	            4.085027   	             0.165628   	          0.834372
0.0097   	   -0.003657   	          -73.146016   	            4.162311   	             0.133758   	          0.866242
0.0098   	   -0.003238   	          -64.751035   	            4.231271   	             0.104817   	          0.895183
0.0099   	   -0.002811   	          -56.226574   	            4.291770   	             0.079036   	          0.920964
0.0100   	   -0.002379   	          -47.589678   	            4.343686   	             0.056619   	          0.943381
0.0101   	   -0.001943   	          -38.857619   	            4.386917   	             0.037748   	          0.962252
0.0102   	   -0.001502   	          -30.047858   	            4.421376   	             0.022572   	          0.977428
0.0103   	   -0.001059   	          -21.178011   	            4.446993   	             0.011213   	          0.988787
0.0104   	   -0.000613   	          -12.265815   	            4.463718   	             0.003761   	          0.996239
0.0105   	   -0.000166   	           -3.329092   	            4.471516   	             0.000277   	          0.999723
0.0106   	    0.000281   	            5.614289   	            4.470374   	             0.000788   	          0.999212
0.0107   	    0.000727   	           14.546443   	            4.460292   	             0.005290   	          0.994710
0.0108   	    0.001172   	           23.449508   	            4.441290   	             0.013747   	          0.986253
0.0109   	    0.001615   	           32.305683   	            4.413408   	             0.026091   	          0.973909
0.0110   	    0.002055   	           41.097257   	            4.376701   	             0.042225   	          0.957775
0.0111   	    0.002490   	           49.806650   	            4.331241   	             0.062018   	          0.937982
0.0112   	    0.002921   	           58.416447   	            4.277120   	             0.085312   	          0.914688
0.0113   	    0.003345   	           66.909430   	            4.214447   	             0.111922   	          0.888078
0.0114   	    0.003763   	           75.268616   	            4.143346   	             0.141634   	          0.858366
0.0115   	    0.004174   	           83.477291   	            4.063960   	             0.174211   	          0.825789
0.0116   	    0.004576   	           91.519038   	            3.976447   	             0.209393   	          0.790607
0.0117   	    0.004969   	           99.377778   	            3.880983   	             0.246899   	          0.753101
0.0118   	    0.005352   	          107.037796   	            3.777758   	             0.286427   	          0.713573
0.0119   	    0.005724   	          114.483774   	            3.666979   	             0.327663   	          0.672337
0.0120   	    0.006085   	          121.700822   	            3.548867   	             0.370277   	          0.629723
0.0121   	    0.006434   	          128.674509   	            3.423658   	             0.413928   	          0.586072
0.0122   	    0.006770   	          135.390890   	            3.291603   	             0.458267   	          0.541733
0.0123   	    0.007092   	          141.836535   	            3.152967   	             0.502940   	          0.497060
0.0124   	    0.007400   	          147.998553   	            3.008025   	             0.547589   	          0.452411
0.0125   	    0.007693   	          153.864624   	            2.857068   	             0.591858   	          0.408142
0.0126   	    0.007971   	          159.423017   	            2.700398   	             0.635392   	          0.364608
0.0127   	    0.008233   	          164.662617   	            2.538328   	             0.677844   	          0.322156
0.0128   	    0.008479   	          169.572947   	            2.371183   	             0.718875   	          0.281125
0.0129   	    0.008707   	          174.144187   	            2.199296   	             0.758155   	          0.241845
0.0130   	    0.008918   	          178.367197   	            2.023011   	             0.795371   	          0.204629
0.0131   	    0.009112   	          182.233532   	            1.842680   	             0.830227   	          0.169773
0.0132   	    0.009287   	          185.735461   	            1.658665   	             0.862442   	          0.137558
0.0133   	    0.009443   	          188.865980   	            1.471333   	             0.891759   	          0.108241
0.0134   	    0.009581   	          191.618831   	            1.281059   	             0.917944   	          0.082056
0.0135   	    0.009699   	          193.988508   	            1.088223   	             0.940789   	          0.059211
0.0136   	    0.009799   	          195.970272   	            0.893211   	             0.960109   	          0.039891
0.0137   	    0.009878   	          197.560162   	            0.696413   	             0.975750   	          0.024250
0.0138   	    0.009938   	          198.754996   	            0.498223   	             0.987589   	          0.012411
0.0139   	    0.009978   	          199.552388   	            0.299036   	             0.995529   	          0.004471
0.0140   	    0.009998   	          199.950740   	            0.099251   	             0.999507   	          0.000493
0.0141   	    0.009997   	          199.949258   	           -0.100733   	             0.999493   	          0.000507
0.0142   	    0.009977   	          199.547944   	           -0.300514   	             0.995485   	          0.004515
0.0143   	    0.009937   	          198.747601   	           -0.499695   	             0.987515   	          0.012485
0.0144   	    0.009877   	          197.549829   	           -0.697877   	             0.975648   	          0.024352
0.0145   	    0.009798   	          195.957023   	           -0.894663   	             0.959979   	          0.040021
0.0146   	    0.009699   	          193.972368   	           -1.089661   	             0.940632   	          0.059368
0.0147   	    0.009580   	          191.599833   	           -1.282479   	             0.917762   	          0.082238
0.0148   	    0.009442   	          188.844163   	           -1.472733   	             0.891553   	          0.108447
0.0149   	    0.009286   	          185.710867   	           -1.660041   	             0.862213   	          0.137787
0.0150   	    0.009110   	          182.206211   	           -1.844030   	             0.829978   	          0.170022
0.0151   	    0.008917   	          178.337203   	           -2.024332   	             0.795104   	          0.204896
0.0152   	    0.008706   	          174.111581   	           -2.200586   	             0.757871   	          0.242129
0.0153   	    0.008477   	          169.537793   	           -2.372439   	             0.718577   	          0.281423
0.0154   	    0.008231   	          164.624986   	           -2.539549   	             0.677535   	          0.322465
0.0155   	    0.007969   	          159.382984   	           -2.701580   	             0.635073   	          0.364927
0.0156   	    0.007691   	          153.822270   	           -2.858208   	             0.591532   	          0.408468
0.0157   	    0.007398   	          147.953962   	           -3.009122   	             0.547259   	          0.452741
0.0158   	    0.007089   	          141.789795   	           -3.154018   	             0.502609   	          0.497391
0.0159   	    0.006767   	          135.342096   	           -3.292607   	             0.457937   	          0.542063
0.0160   	    0.006431   	          128.623758   	           -3.424612   	             0.413602   	          0.586398
0.0161   	    0.006082   	          121.648216   	           -3.549768   	             0.369957   	          0.630043
0.0162   	    0.005721   	          114.429417   	           -3.667827   	             0.327352   	          0.672648
0.0163   	    0.005349   	          106.981798   	           -3.778551   	             0.286128   	          0.713872
0.0164   	    0.004966   	           99.320251   	           -3.881719   	             0.246613   	          0.753387
0.0165   	    0.004573   	           91.460096   	           -3.977125   	             0.209124   	          0.790876
0.0166   	    0.004171   	           83.417052   	           -4.064578   	             0.173960   	          0.826040
0.0167   	    0.003760   	           75.207201   	           -4.143904   	             0.141403   	          0.858597
0.0168   	    0.003342   	           66.846962   	           -4.214943   	             0.111713   	          0.888287
0.0169   	    0.002918   	           58.353050   	           -4.277553   	             0.085127   	          0.914873
0.0170   	    0.002487   	           49.742452   	           -4.331610   	             0.061858   	          0.938142
0.0171   	    0.002052   	           41.032385   	           -4.377005   	             0.042091   	          0.957909
0.0172   	    0.001612   	           32.240268   	           -4.413647   	             0.025986   	          0.974014
0.0173   	    0.001169   	           23.383680   	           -4.441464   	             0.013670   	          0.986330
0.0174   	    0.000724   	           14.480334   	           -4.460399   	             0.005242   	          0.994758
0.0175   	    0.000277   	            5.548031   	           -4.470415   	             0.000770   	          0.999230
0.0176   	   -0.000170   	           -3.395366   	           -4.471491   	             0.000288   	          0.999712
0.0177   	   -0.000617   	          -12.331974   	           -4.463626   	             0.003802   	          0.996198
0.0178   	   -0.001062   	          -21.243921   	           -4.446836   	             0.011283   	          0.988717
0.0179   	   -0.001506   	          -30.113388   	           -4.421153   	             0.022670   	          0.977330
0.0180   	   -0.001946   	          -38.922638   	           -4.386629   	             0.037874   	          0.962126
0.0181   	   -0.002383   	          -47.654056   	           -4.343333   	             0.056773   	          0.943227
0.0182   	   -0.002815   	          -56.290181   	           -4.291353   	             0.079215   	          0.920785
0.0183   	   -0.003241   	          -64.813745   	           -4.230791   	             0.105021   	          0.894979
0.0184   	   -0.003660   	          -73.207703   	           -4.161768   	             0.133984   	          0.866016
0.0185   	   -0.004073   	          -81.455270   	           -4.084424   	             0.165874   	          0.834126
0.0186   	   -0.004477   	          -89.539954   	           -3.998912   	             0.200435   	          0.799565
0.0187   	   -0.004872   	          -97.445588   	           -3.905404   	             0.237391   	          0.762609
0.0188   	   -0.005258   	         -105.156362   	           -3.804086   	             0.276447   	          0.723553
0.0189   	   -0.005633   	         -112.656860   	           -3.695161   	             0.317289   	          0.682711
0.0190   	   -0.005997   	         -119.932081   	           -3.578847   	             0.359593   	          0.640407
0.0191   	   -0.006348   	         -126.967478   	           -3.455377   	             0.403019   	          0.596981
0.0192   	   -0.006687   	         -133.748982   	           -3.324997   	             0.447220   	          0.552780
0.0193   	   -0.007013   	         -140.263033   	           -3.187968   	             0.491843   	          0.508157
0.0194   	   -0.007325   	         -146.496604   	           -3.044564   	             0.536531   	          0.463469
0.0195   	   -0.007622   	         -152.437231   	           -2.895073   	             0.580928   	          0.419072
0.0196   	   -0.007904   	         -158.073035   	           -2.739792   	             0.624677   	          0.375323
0.0197   	   -0.008170   	         -163.392745   	           -2.579032   	             0.667430   	          0.332570
0.0198   	   -0.008419   	         -168.385724   	           -2.413115   	             0.708844   	          0.291156
0.0199   	   -0.008652   	         -173.041988   	           -2.242373   	             0.748588   	          0.251412
0.0200   	   -0.008868   	         -177.352225   	           -2.067146   	             0.786345   	          0.213655
0.0201   	   -0.009065   	         -181.307817   	           -1.887786   	             0.821813   	          0.178187
0.0202   	   -0.009245   	         -184.900854   	           -1.704652   	             0.854708   	          0.145292
0.0203   	   -0.009406   	         -188.124151   	           -1.518108   	             0.884767   	          0.115233
0.0204   	   -0.009549   	         -190.971262   	           -1.328529   	             0.911751   	          0.088249
0.0205   	   -0.009672   	         -193.436495   	           -1.136293   	             0.935442   	          0.064558
0.0206   	   -0.009776   	         -195.514918   	           -0.941785   	             0.955652   	          0.044348
0.0207   	   -0.009860   	         -197.202378   	           -0.745393   	             0.972219   	          0.027781
0.0208   	   -0.009925   	         -198.495498   	           -0.547511   	             0.985012   	          0.014988
0.0209   	   -0.009970   	         -199.391693   	           -0.348535   	             0.993926   	          0.006074
0.0210   	   -0.009994   	         -199.889171   	           -0.148861   	             0.998892   	          0.001108
0.0211   	   -0.009999   	         -199.986938   	            0.051111   	             0.999869   	          0.000131
0.0212   	   -0.009984   	         -199.684798   	            0.250980   	             0.996850   	          0.003150
0.0213   	   -0.009949   	         -198.983354   	            0.450347   	             0.989859   	          0.010141
0.0214   	   -0.009894   	         -197.884010   	            0.648814   	             0.978952   	          0.021048
0.0215   	   -0.009819   	         -196.388964   	            0.845983   	             0.964216   	          0.035784
0.0216   	   -0.009725   	         -194.501206   	            1.041461   	             0.945768   	          0.054232
0.0217   	   -0.009611   	         -192.224509   	            1.234856   	             0.923757   	          0.076243
0.0218   	   -0.009478   	         -189.563428   	            1.425782   	             0.898357   	          0.101643
0.0219   	   -0.009326   	         -186.523284   	            1.613856   	             0.869773   	          0.130227
0.0220   	   -0.009156   	         -183.110155   	            1.798704   	             0.838233   	          0.161767
0.0221   	   -0.008967   	         -179.330866   	            1.979955   	             0.803989   	          0.196011
0.0222   	   -0.008760   	         -175.192976   	            2.157246   	             0.767314   	          0.232686
0.0223   	   -0.008535   	         -170.704758   	            2.330224   	             0.728503   	          0.271497
0.0224   	   -0.008294   	         -165.875188   	            2.498542   	             0.687864   	          0.312136
0.0225   	   -0.008036   	         -160.713922   	            2.661864   	             0.645724   	          0.354276
0.0226   	   -0.007762   	         -155.231282   	            2.819863   	             0.602419   	          0.397581
0.0227   	   -0.007472   	         -149.438231   	            2.972223   	             0.558295   	          0.441705
0.0228   	   -0.007167   	         -143.346354   	            3.118639   	             0.513704   	          0.486296
0.0229   	   -0.006848   	         -136.967832   	            3.258820   	             0.469005   	          0.530995
0.0230   	   -0.006516   	         -130.315419   	            3.392484   	             0.424553   	          0.575447
0.0231   	   -0.006170   	         -123.402420   	            3.519364   	             0.380704   	          0.619296
0.0232   	   -0.005812   	         -116.242656   	            3.639206   	             0.337809   	          0.662191
